,ingredient,chemComp
199,curd,"2-Undecanone|Pentanal|Methyl Benzoate|formic acid|trans-2-Octenal|lactic acid|2-Pentylfuran|Thiamine Hydrochloride|Heptanoic Acid|Methyl Acetate|2-Nonanone|Dimethyl disulfide|phenylacetaldehyde|2,3-butanedione|2,3-Pentanedione|3-Hydroxy-2-Pentanone|Propyl acetate|Octan-2-one|octanoic acid|dimethyl sulfide|5-Methylfurfural|Pyruvic acid|thiamine|betaine|CID 644104|delta-Hexalactone|2-Pentanone|Isobutyraldehyde|propionic acid|Decanoic acid|gamma-Valerolactone"
200,bacon,"(2E,4E)-Undeca-2,4-dienal|Isobutyl mercaptan|2-Propionylpyrrole|3-methylthiopropanol|Furfuryl mercaptan|Vanillic acid|3-Hexanone|palmitic acid|Isobutyric Acid|taurine|3-Octanol|4-Methylthiazole|Gamma-undecalactone|2,6-Dimethylphenol|gamma-Dodecalactone|Pyrrole|2-Methyl-3-tetrahydrofuranthiol|L-phenylalanine|2,4,5-Trimethyloxazole|methanethiol|Ethyl methyl sulfide|2-Undecenal|Maltol|23726-92-3|trans,trans-2,4-Nonadienal|2-Acetylpyrrole|CID 644104|1-Nonanol|2-Pentanone|13679-70-4|trimethylamine|2,5-Diethyl-3-Methylpyrazine|Delta-Nonalactone|1-Mercapto-2-propanone|5,6,7,8-Tetrahydroquinoxaline|benzoic acid|Benzyl methyl sulfide|gamma-Caprolactone|2,3,5,6-Tetramethylpyrazine|Heptanoic Acid|isopropanol|Tetradecanoic acid|4-Allyl-2,6-dimethoxyphenol|2,6-Dimethoxy-4-propylphenol|furan-2-ylmethyl pentanoate|vanillin|Alpha-Phellandrene|Acetylpyrazine|2,3-Pentanedione|3-Hydroxy-2-Pentanone|L-histidine|Disodium 5'-inosinate|S-Methyl thioacetate|Undecanal|23747-48-0|2-Ethyl-3-Methylpyrazine|Furfuryl propionate|dimethyl sulfide|betaine|Decanal|2-Methoxy-4-Propylphenol|2,3-Diethyl-5-Methylpyrazine|P-Cresol|ethanol|2-Ethyl-3,5-Dimethylpyrazine|Isoamylamine|2-Isobutyl-3-Methylpyrazine|Ethyl dodecanoate|1-Dodecanol|4-Propenyl-2,6-dimethoxyphenol|Ethyl methyl disulfide|stearic acid|4-Methyl-2-pentanone|Cyclopentanone|dimethyl sulfoxide|Undecanoic Acid|2-Methyltetrahydrofuran-3-One|5-Methyl-2-phenyl-2-hexenal|Diethyl sulfide|2,5-Dimethylpyrazine|Tetradecanal|1-Hexanethiol|trans-2-Hexenoic acid|2,6-Dimethylpyridine|Thiamine Hydrochloride|4,5-Dimethylthiazole|2-Acetylthiazole|1-Undecanol|Dimethyl trisulfide|Geranylacetone|L-aspartic acid|1-Decanol|9-Octadecenal, (9E)-|Thiazole|lauric acid|5-Methylfurfural|thiamine|4-Ethylsyringol|oleic acid|gamma-Valerolactone|3-Methyl-2-Buten-1-Ol|Propionaldehyde|5-Methylhexanoic Acid|3,5-Diethyl-2-Methylpyrazine|2-Decenoic acid|Diethyl Disulfide|adipic acid|Furfuryl methyl disulfide|Benzyl Acetate|Pentyl formate|2-Undecanone|2-Acetylfuran|Difurfuryl ether|trans,trans-2,4-Heptadienal|Furfuryl acetate|2-Tridecanone|2-Acetyl-3-ethylpyrazine|2-Ethyl-4-Methylthiazole|1-propanol|2-Furylacetone|2,5-Dimethyl-1,4-dithiane-2,5-diol|trans-2-Decenal|13494-07-0|trans-2-Octenal|2-Butylfuran|indole|104-50-7|Myrcene|5550-12-9|Dl-Phenylalanine|2-Acetyl-3-Methylpyrazine|Isoamyl Acetate|3-Methylcyclopentane-1,2-dione|2,3-butanedione|13679-85-1|Dodecanal|2-Methoxy-4-vinylphenol|2-Acetyl-5-Methylfuran|trans-2-Nonenal|3-Methyl-2-Cyclopenten-1-One|2-Methoxy-4-Methylphenol|delta-Tetradecalactone|2-Methylpentanal|delta-Octanolactone|2,6-Dimethoxy-4-methylphenol|4-Methyl-5-Vinylthiazole|gamma-Nonanolactone|2-Methylbutanoic acid|3,5-Dimethyl-1,2,4-Trithiolane|(E)-Hept-2-enal|1-Penten-3-Ol|delta-Hexalactone|2,4,5-Trimethylthiazole|Methyl Linoleate|propionic acid|Furfuryl methyl sulfide|5-Ethyl-2-methylthiazole"
201,vada,
202,gooseberry,"coumarin|Methyl Benzoate|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|(-)-Epigallocatechin|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|4077-47-8|DL-Liquiritigenin|alpha-TERPINEOL|phloretin|DL-Tartaric acid|Methyl Isobutyrate|Hexanal|Damascenone|Linamarin|2-Methyl-1-Butanol|gamma-Caprolactone|Heptanoic Acid|salicylic acid|Tetradecanoic acid|vanillin|(Z)-cinnamyl alcohol|Diethyl Malonate|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Methyl octanoate|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|2-Pentanol|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|(-)-Epicatechin gallate|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|Methyl 2-methylbutyrate|lauric acid|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|3658-77-3|2-(4-Hydroxyphenyl)ethanol|lactic acid|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|delta-Octanolactone|3,4-Dihydroxybenzaldehyde|1-Penten-3-Ol|Methyl Linoleate|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|Isovaleric Acid|CID 644104|Taxifolin|D-mannitol|2-Pentanone|indole-3-acetic acid|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Methyl Dodecanoate|Allyl Alcohol|Cianidanol|beta-Cyclocitral|Isobutyl Acetate|naringenin|Isobutyraldehyde|1-Dodecanol|stearic acid|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|2-(4-methylphenyl)propan-2-ol|hydrogen cyanide|Benzyl Benzoate|Methyl isovalerate|methyl salicylate|trans-3-Hexen-1-ol|Ethyl salicylate|Ethyl Acetate|4-Hexen-3-One|Neral|Gallocatechin|Ethyl 2-octenoate|3-Methyl-2-butenal|3-Pentanone|1-propanol|Methyl Hexanoate|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid|Hexyl octanoate|Nonanoic Acid"
203,kiwi,"coumarin|Methyl Benzoate|3-Hexanone|Geraniol|Ethyl (methylthio)acetate|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|(-)-Epigallocatechin|methanethiol|daidzein|2-Undecenal|benzaldehyde|Methyl (methylthio)acetate|23726-92-3|benzyl alcohol|Methyl 2-furoate|alpha-L-Sorbopyranose|4077-47-8|DL-Liquiritigenin|1,3,5-Undecatriene|Ethyl caproate|phloretin|Ethyl 3-(methylthio)propionate|Methyl Isobutyrate|Hexanal|Linamarin|2-Methyl-1-Butanol|1-octanol|Heptanoic Acid|salicylic acid|vanillin|trans-3-Hexenoic acid|(Z)-cinnamyl alcohol|Ethyl 3-Hexenoate|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Methyl octanoate|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Pentanal|Sinapic Acid|Cyclopentanone|Methyl Propionate|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|Methyl butyrate|(-)-Epicatechin gallate|2-Phenylethanol|(+)-Neomenthol|succinic acid|NSC5112|2-Ethylhexan-1-ol|apigenin|cis-2-Penten-1-ol|phenylacetaldehyde|trans-2-Hexen-1-Ol|octanoic acid|5-Methylfurfural|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|Isobutyl butyrate|2,3-butanedione|isoliquiritigenin|Ethyl Propionate|Cinnamic Acid|Farnesal|3,4-Dihydroxybenzaldehyde|1-Penten-3-Ol|citric acid|3-Methylbutanal|farnesol|Daidzin|L-Malic acid|Styrene|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|2-Methyl-1-propanol|Methyl Acetate|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|1-Heptanol|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|Isoquercitrin|1-Pyrroline|Menthone|Ethyl Butyrate|Geranyl Acetate|cis-3-Hexenyl acetate|Propyl butyrate|Allyl Alcohol|Cianidanol|Methyl Valerate|Ethyl Crotonate|(Z)-Hex-3-en-1-ol|naringenin|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|hydrogen cyanide|Benzyl Benzoate|methyl salicylate|trans-3-Hexen-1-ol|Ethyl Acetate|Ethyl Isobutyrate|4-Hexen-3-One|Neral|Gallocatechin|3-Methyl-2-butenal|3-Pentanone|trans-2-Decenal|2,4-Hexadienal|Methyl Hexanoate|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid|Hotrienol"
204,burrito,thiamine|CID 644104|betaine|Heptanoic Acid
205,giblet,
206,turmeric,"coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|alpha-TERPINEOL|(-)-Zingiberene|3-Carene|phloretin|Beta-Caryophyllene|Hexanal|Linamarin|2-Methyl-1-Butanol|salicylic acid|vanillin|(Z)-cinnamyl alcohol|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Isoeugenol|(+)-alpha-Terpineol|betaine|Eucalyptol|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|Ocimene|(+)-Neomenthol|succinic acid|NSC5112|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-Undecanol|(E)-gamma-Bisabolene|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|Isoborneol|indole|Tributyrin|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|3,4-Dihydroxybenzaldehyde|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|CHEBI:49249|(+)-Camphene|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|Camphene|kaempferol|Dipentene|Borneol|CID 644104|Taxifolin|2-Heptanol|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|1-Pyrroline|Menthone|cis-Cinnamic acid|Geranyl Acetate|cis-3-Hexenyl acetate|Alpha-Phellandrene|.beta.-Sesquiphellandrene|Allyl Alcohol|Alpha-Terpinene|(+)-alpha-phellandrene|Curcumenol|naringenin|Isobutyraldehyde|Curcumene|P-Cymene|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|1-(4-Methylphenyl)ethanol|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|4-isopropylbenzaldehyde|4-isopropylbenzyl alcohol|p-coumaric acid|Linalool"
207,turnip,"coumarin|Daidzin|Glucobrassicin|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|Vanillic acid|Phenethyl isothiocyanate|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|phloretin|Dl-Methionine|1-Pyrroline|Menthone|resveratrol|Hexanal|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|vanillin|(Z)-cinnamyl alcohol|cinnamyl alcohol|Ethyl Vinyl Ketone|Allyl Alcohol|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|Isobutyraldehyde|naringenin|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|Sinapic Acid|6-Methyl-5-Hepten-2-One|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|(+)-Neomenthol|Allyl Isothiocyanate|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|apigenin|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|trans-3-Hexen-1-ol|thiamine|3-Phenylpropanoic acid|Ethyl Acetate|3-Methyl-1-butanol|Propionaldehyde|4-Hexen-3-One|Neral|3-Methyl-2-butenal|3-Pentanone|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|Heptanal|Dl-Phenylalanine|calcium lactate|acetone|2-Butanone|2,3-butanedione|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|3,4-Dihydroxybenzaldehyde|p-coumaric acid|3-Methylbutanal|farnesol"
208,raisin,Isoamyl laurate|Pentanal|2-Methyltetrahydrofuran-3-One|1-Octen-3-Ol|2-Phenylethanol|Hexanal|gamma-Caprolactone|2-Nonanone|phenylacetaldehyde|2-Acetyl-5-Methylfuran|Octan-2-one|1-Hexanol|methyl salicylate|lauric acid|Hexanoic Acid|octanoic acid|gamma-Nonanolactone|Methyl 2-furoate|(E)-Hept-2-enal|5-Methylfurfural|3-Methyl-1-butanol|alpha-TERPINEOL|Nonanoic Acid
209,paratha,
210,ragi,
211,grape,"Diphenyl oxide|1-Popc|Isoamyl butyrate|Hexyl Hexanoate|coumarin|Isopentyl hexanoate|Daidzin|2-Methylbutyl Acetate|Isopropyl Hexanoate|2-Methylbutyraldehyde|Styrene|3-methylthiopropanol|Methyl Benzoate|Citral|2-Methyl-1-propanol|Vanillic acid|Ethyl 2-aminobenzoate|1-Methylnaphthalene|palmitic acid|3-Hexanone|Geraniol|Isobutyric Acid|Hexyl formate|3-Octanol|Hexyl Butyrate|alpha-Maltose|Methyl Acetate|2-Nonanone|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Methyl jasmonate|alpha-Ionol|3,4-Dihydroxybenzoic Acid|nicotine|Nerol oxide|alpha-Farnesene|(-)-Epigallocatechin|kaempferol|1-Phenylethanol|Propyl acetate|methanethiol|Octan-2-one|1-Hexanol|6-Methylhepta-3,5-dien-2-one|daidzein|benzaldehyde|Dipentene|benzyl alcohol|13679-86-2|cis-3-Hexenyl lactate|Isovaleric Acid|alpha-L-Sorbopyranose|2-Ethylbutyric Acid|4077-47-8|3,7-Dimethyloctane-1,7-diol|DL-Liquiritigenin|CID 644104|1-Nonanol|Taxifolin|2-Heptanol|Propylamine|alpha-TERPINEOL|2-Pentanone|D-mannitol|3-Oxo-alpha-ionol|indole-3-acetic acid|Citronellol|16491-36-4|2-Isobutyl-3-Methoxypyrazine|Isoquercitrin|3025-30-7|Ethyl 3-hydroxyhexanoate|phloretin|DL-Tartaric acid|Ethyl Decanoate|Isoamyl laurate|Methyl Anthranilate|1-Pyrroline|Ethyl Undecanoate|Menthone|Ethyl Butyrate|cis-Cinnamic acid|resveratrol|Isopropyl Acetate|6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol|Ethyl Stearate|Geranyl Acetate|Hexanal|Damascenone|Linamarin|2-Methyl-1-Butanol|1-octanol|cis-3-Hexenyl acetate|Heptanoic Acid|salicylic acid|Methyl Linolenate|Tetradecanoic acid|Hexyl 2-methylbutanoate|vanillin|caftaric acid|(Z)-cinnamyl alcohol|Methyl Dodecanoate|cinnamyl alcohol|phenol|Ethyl Vinyl Ketone|Allyl Alcohol|Phenethylamine|Methyl 3-phenylpropionate|2-Methoxypyrazine|Ethyl Crotonate|Cianidanol|hydrogen peroxide|Methyl octanoate|Pyrrolidine|Alpha-Terpinene|(2E,4E)-Octa-2,4-dienal|Beta-Ionone|Isoeugenol|Isobutyl Acetate|Ethyl Heptanoate|(+)-alpha-Terpineol|betaine|Syringaldehyde|Phenethyl acetate|Propyl Propionate|Salicylaldehyde|Isobutyl propionate|Isopentyl octanoate|Phenylacetic Acid|Isoamylamine|Isobutyraldehyde|naringenin|4-Ethyl-2-methoxyphenol|Methyl tetradecanoate|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Ethyl tetradecanoate|Phenethyl butyrate|2-Pentanol|1,2-Dimethoxybenzene|Pentanal|Sinapic Acid|6-Methyl-5-Hepten-2-One|Isobutyl hexanoate|4-Methyl-2-pentanone|Cyclopentanone|Undecanoic Acid|2-Pentyl Acetate|2-Isopropyl-5-methylcyclohexanone|(-)-Epigallocatechin gallate|Methyl butyrate|Isobutyl isobutyrate|(-)-Epicatechin gallate|2-Heptanone|quercetin|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|Hexyl isobutyrate|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|Nonanal|Vomifoliol|m-cresol|Acetophenone|alpha-Angelica lactone|apigenin|phenylacetaldehyde|beta-Ionol|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|Theaspirane|Isoamyl salicylate|Methyl 2-methoxybenzoate|methyl salicylate|lauric acid|octanoic acid|trans-3-Hexen-1-ol|5-Methylfurfural|thiamine|oleic acid|3-Methyl-1-butanol|trans-2-Octen-1-Ol|Butyl Stearate|3-Methyl-2-Buten-1-Ol|Ethyl Isobutyrate|3-Phenylpropanoic acid|Ethyl Acetate|Propionaldehyde|4-Hexen-3-One|Ethyl Nonanoate|1-Phenylethyl isobutyrate|Neral|Hexyl acetate|3658-77-3|Isopentyl isobutyrate|Linaloyl oxide|Decanoic acid|Gallocatechin|Ethyl hex-2-enoate|2-Furaldehyde|Diethylamine|3-Methyl-2-butenal|3-Pentanone|1-propanol|2-(4-Hydroxyphenyl)ethanol|Lycopene|Ethyl Lactate|lactic acid|2-Pentylfuran|Acrolein|(+)-delta-Cadinene|2-methylpropyl but-2-enoate|Hexyl phenylacetate|indole|Methyl Hexanoate|Tributyrin|Heptanal|2-Phenylethyl formate|acetone|calcium lactate|Isoamyl Acetate|Nonyl Acetate|2-Butanone|Isopropyl 2-methylbutyrate|2,3-butanedione|2-Methoxy-4-vinylphenol|D-Lactic acid|isoliquiritigenin|4-hydroxybenzaldehyde|Fenchol|Cinnamic Acid|2,4-Dimethylbenzaldehyde|Farnesal|luteolin|4-isopropylbenzaldehyde|2-Methyl-2-Pentenal|Ocimene quintoxide|Valeric acid|3-Methyl-2-Butanol|2-Methylbutanoic acid|Neryl acetate|Vitispirane|(E)-Hept-2-enal|3,4-Dihydroxybenzaldehyde|p-coumaric acid|Ethanamine|Isopropyl Formate|Hexyl octanoate|Linalool|Nonanoic Acid|nerol|Isobutylamine|3-Methylbutanal|Hotrienol|farnesol"
212,ham,"L-histidine|Dl-Phenylalanine|L-aspartic acid|(2E,4E)-Octa-2,4-dienal|trans-2-Decenal|L-phenylalanine"
213,burger,"Isoamyl butyrate|Octan-2-ol|Isopentyl hexanoate|Styrene|2-Methylbutyraldehyde|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|Ethyl Formate|Isobutyric Acid|Ethyl 3-methylpentanoate|Methyl Acetate|2-Nonanone|Pyrazine|4-Methylpentanoic Acid|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|1-Nonanol|2-Heptanol|trimethylamine|Ethyl caproate|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Hexanal|1-octanol|gamma-Caprolactone|Heptanoic Acid|salicylic acid|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|Dimethyl disulfide|Methyl Dodecanoate|phenol|S-Methyl thioacetate|Methyl octanoate|Hexanoic Acid|Pyrrolidine|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Phenethyl acetate|S-Methyl 3-methylbutanethioate|Isopentyl octanoate|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|1-Dodecanol|Pentanal|Ethyl methyl disulfide|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|Butyl isobutyrate|Dimethyl trisulfide|phenylacetaldehyde|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|oleic acid|3-Methyl-1-butanol|S-Methyl propanethioate|Hexyl acetate|S-Methyl thiobutyrate|Decanoic acid|L-arginine|2-Undecanone|2-Tridecanone|1-propanol|lactic acid|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|delta-Octanolactone|2,3,5-Trithiahexane|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal"
214,apricot,"Isoamyl butyrate|Hexyl Hexanoate|coumarin|Isopentyl hexanoate|Daidzin|2-Methylbutyl Acetate|Delta-Decalactone|2-Methylbutyraldehyde|3-methylthiopropanol|Methyl Benzoate|Citral|Ethyl Octanoate|2-Methyl-1-propanol|Vanillic acid|3-Hexanone|Hexyl benzoate|Geraniol|Isobutyric Acid|Hexyl Butyrate|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Gamma-undecalactone|Phlorizin|gamma-Dodecalactone|Methyl jasmonate|Terpinolene|3,4-Dihydroxybenzoic Acid|butyric acid|nicotine|Nerol oxide|(-)-Epigallocatechin|kaempferol|Propyl acetate|methanethiol|Octan-2-one|daidzein|benzaldehyde|1,4-Cineole|53398-85-9|Dipentene|benzyl alcohol|D-Sorbitol|alpha-L-Sorbopyranose|DL-Liquiritigenin|CID 644104|1-Nonanol|Taxifolin|alpha-TERPINEOL|2-Pentanone|D-mannitol|indole-3-acetic acid|16491-36-4|Isoquercitrin|phloretin|DL-Tartaric acid|1-Pyrroline|gamma-Decalactone|2,2,6-Trimethylcyclohexanone|Menthone|benzoic acid|6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol|Hexanal|Damascenone|Geranyl Acetate|Linamarin|2-Methyl-1-Butanol|1-octanol|gamma-Caprolactone|cis-3-Hexenyl acetate|3-Hexanol|Heptanoic Acid|salicylic acid|Tetradecanoic acid|Hexyl 2-methylbutanoate|trans-2-Hexenyl acetate|vanillin|Alpha-Phellandrene|(Z)-cinnamyl alcohol|Heptyl acetate|Beta-Pinene|cinnamyl alcohol|phenol|Propyl butyrate|Ethyl Vinyl Ketone|Allyl Alcohol|Propyl Hexanoate|Cianidanol|hydrogen peroxide|beta-Cyclocitral|Methyl octanoate|Beta-Ionone|Pentyl Hexanoate|Isobutyl Acetate|Ethyl Heptanoate|Isoeugenol|(+)-alpha-Terpineol|betaine|Decanal|Phenethyl acetate|Propyl Propionate|Isobutyl propionate|Phenylacetic Acid|Isobutyraldehyde|naringenin|Butyl hexanoate|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|Ethyl tetradecanoate|trans-2-Hexenal|P-Cymene|Pentanal|Sinapic Acid|6-Methyl-5-Hepten-2-One|Isobutyl hexanoate|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Pentyl Acetate|(-)-Epigallocatechin gallate|Methyl butyrate|Isobutyl isobutyrate|Tetradecanal|(-)-Epicatechin gallate|quercetin|3-(Methylthio)propionaldehyde|2-Phenylethanol|Terpinen-4-ol|Hexyl isobutyrate|(+)-Neomenthol|succinic acid|Octanal|NSC5112|Thiamine Hydrochloride|Nonanal|Butyl isobutyrate|Dihydro-beta-ionone|apigenin|2-(4-methylphenyl)propan-2-ol|phenylacetaldehyde|hydrogen cyanide|Benzyl Benzoate|trans-2-Hexen-1-Ol|Methyl 2-methylbutyrate|lauric acid|cis-Jasmone|trans-3-Hexen-1-ol|D-Camphor|thiamine|3-Methyl-1-butanol|3-Phenylpropanoic acid|Ethyl Acetate|Ethyl Isobutyrate|Isopropyl butyrate|Propionaldehyde|4-Hexen-3-One|Hexyl propionate|Neral|Hexyl acetate|Gallocatechin|Benzothiazole|Decanoic acid|2-Furaldehyde|Benzyl Acetate|Delta-Dodecalactone|3-Methyl-2-butenal|3-Pentanone|1-propanol|2-(4-Hydroxyphenyl)ethanol|Lycopene|Ethyl Lactate|Acrolein|(+)-delta-Cadinene|Butyl Isovalerate|indole|2,4-Hexadienal|Methyl Hexanoate|Tributyrin|104-50-7|Myrcene|Heptanal|Alpha-Pinene|Ethyl pentanoate|calcium lactate|acetone|Isobutyl butyrate|Isoamyl Acetate|2-Butanone|2,3-butanedione|D-Lactic acid|Alpha-Ionone|isoliquiritigenin|4-hydroxybenzaldehyde|Cinnamic Acid|Farnesal|luteolin|delta-Octanolactone|gamma-Nonanolactone|2-Methylbutanoic acid|3,4-Dihydroxybenzaldehyde|2-METHYLBUTYL 2-METHYLBUTYRATE|p-coumaric acid|1-Penten-3-Ol|Hexyl octanoate|Linalool|nerol|3-Methylbutanal|farnesol"
215,caraway,"Octanal|D-Fenchone|Carvone|Nonanal|Dihydrocarveol|Myrcene|Alpha-Pinene|P-Mentha-2,8-dien-1-ol|Beta-Caryophyllene|Alpha-Phellandrene|Carveol|Perillaldehyde|Beta-Pinene|D-Limonene|Dihydrocarvone|cis-Carvyl acetate"
216,gouda,
217,p,"2,3-Dimethylpyrazine|2,5-Dimethylpyrazine|2-Ethylpyrazine|2-Ethyl-3-Methylpyrazine|2-Methylpyrazine|2,3,5-Trimethylpyrazine"
218,farro,
219,vada pav,
220,chipotle,
